Date,Open,High,Low,Close,Adj Close,Volume,Simple Return,Log Return,Volatility,SMA_10,SMA_50,SMA_200,EMA_12,EMA_26,EMA_50,MACD,Signal Line,Histogram,RSI,Middle Band,Upper Band,Lower Band
2021-11-22,5.010000228881836,5.074999809265137,4.659999847412109,4.829999923706055,4.829999923706055,140500,-0.026209700290543814,-0.0265592965591247,0.669110591588938,5.795999956130982,6.736999969482422,,5.772556112184105,6.266742762594932,6.62667516581648,-0.49418665041082654,-0.310250286386907,-0.18393636402391955,27.012817608685907,6.24949996471405,7.654298532872969,4.8447013965551315
2021-11-23,4.860000133514404,5.139999866485596,4.565000057220459,5.090000152587891,5.090000152587891,320900,0.05383027598110979,0.05243140867177225,0.7045128008934759,5.642999982833862,6.721999969482422,,5.667547503015457,6.179576643335151,6.56641340059183,-0.5120291403196946,-0.35060605717346455,-0.16142308314623005,32.54517117474275,6.175999975204467,7.659730388338234,4.692269562070701
2021-11-24,5.139999866485596,5.329999923706055,4.940000057220459,5.190000057220459,5.190000057220459,112500,0.01964634609720517,0.019455847662528395,0.7115077999578884,5.494000005722046,6.70959997177124,,5.594078665200842,6.1062746739933225,6.512436406734129,-0.5121960087924808,-0.3829240474972678,-0.129271961295213,34.59851408777152,6.130499982833863,7.675316770398882,4.585683195268843
2021-11-26,5.070000171661377,5.179999828338623,4.829999923706055,4.840000152587891,4.840000152587891,63100,-0.06743736045737414,-0.06981895594797032,0.7085760107174285,5.326999998092651,6.689599971771241,,5.47806658633731,6.012476561296624,6.4468506712774145,-0.5344099749593134,-0.41322123298967695,-0.12118874196963647,31.037393317301664,6.059999990463257,7.702193591412341,4.417806389514173
2021-11-29,4.949999809265137,5.070000171661377,4.7230000495910645,4.940000057220459,4.940000057220459,81600,0.020661136669406943,0.020450590527956513,0.7063941237529183,5.203000020980835,6.671799974441528,,5.395287120319333,5.933033857290982,6.387758490334005,-0.5377467369716493,-0.43812633378607146,-0.09962040318557785,33.15438202191841,6.0,7.712308325517286,4.287691674482714
2021-11-30,4.889999866485596,5.130000114440918,4.738999843597412,5.099999904632568,5.099999904632568,121100,0.03238863270421399,0.031875178247863616,0.7206495111149166,5.1430000305175785,6.656399974822998,,5.349858317905984,5.8713276385755435,6.337258153639832,-0.5214693206695591,-0.45479493116276903,-0.06667438950679005,36.51251332242381,5.91949999332428,7.642073306955716,4.196926679692844
2021-12-01,5.179999828338623,5.289999961853027,4.869999885559082,4.909999847412109,4.909999847412109,67200,-0.03725491387713031,-0.03796661030131829,0.6371833712256172,5.078999996185303,6.635599975585937,,5.28218778398385,5.800118172563437,6.281287239670117,-0.517930388579587,-0.46742202264613264,-0.05050836593345431,34.308351729829425,5.811999988555908,7.504543606520371,4.119456370591446
2021-12-02,4.860000133514404,5.059999942779541,4.75,4.889999866485596,4.889999866485596,120000,-0.004073315997566662,-0.004081634546244125,0.5948517287436756,5.007999992370605,6.616399974822998,,5.22185118129181,5.732702001742856,6.226726950525626,-0.5108508204510462,-0.47610778220711536,-0.03474303824393088,34.075166935434,5.697499990463257,7.312428791726579,4.082571189199935
2021-12-03,4.949999809265137,5.010000228881836,4.440000057220459,4.630000114440918,4.630000114440918,123300,-0.05316968489644103,-0.05463538336781784,0.594419167699552,4.938000011444092,6.589999980926514,,5.130797171007057,5.651020380461231,6.164110211855639,-0.5202232094541746,-0.4849308676565272,-0.03529234179764734,31.114489529238398,5.563499999046326,7.061515693279326,4.065484304813325
2021-12-06,4.679999828338623,4.949999809265137,4.511000156402588,4.800000190734863,4.800000190734863,74900,0.036717078205617426,0.0360590648348709,0.6115302100270146,4.9220000267028805,6.546999988555908,,5.079905327888258,5.5879818478889085,6.110615701223452,-0.5080765200006505,-0.4895599981253519,-0.01851652187529862,35.08597089434426,5.460500001907349,6.868341929912422,4.0526580739022755
2021-12-07,4.840000152587891,5.150000095367432,4.840000152587891,5.03000020980835,5.03000020980835,117000,0.047916668736272205,0.04680406817277408,0.6307933347915758,4.942000055313111,6.500399990081787,,5.072227617414425,5.546649874697756,6.068238623128742,-0.4744222572833312,-0.4865324499569478,0.012110192673616571,40.116303352792116,5.369000005722046,6.631487941334589,4.106512070109503
2021-12-08,5.090000152587891,5.439000129699707,4.929999828338623,5.320000171661377,5.320000171661377,179200,0.05765406555799668,0.05605330979768019,0.6735620242515217,4.965000057220459,6.467799997329712,,5.110346471913957,5.529861007806173,6.038895938757474,-0.4195145358922163,-0.47312886714400154,0.05361433125178522,45.817570003453625,5.304000020027161,6.428480278583539,4.179519761470782
2021-12-09,5.239999771118164,5.559000015258789,4.925000190734863,4.96999979019165,4.96999979019165,207000,-0.06578954326620357,-0.06805353772715182,0.6957119945911632,4.943000030517578,6.435199995040893,,5.08875467472591,5.488389806501394,5.996978442735285,-0.3996351317754847,-0.4584301200702982,0.0587949882948135,40.77231229883485,5.218500018119812,6.155970543944379,4.281029492295245
2021-12-10,4.989999771118164,5.329999923706055,4.920000076293945,4.960000038146973,4.960000038146973,92000,-0.0020120226291382437,-0.002014049465818833,0.6923882077703905,4.955000019073486,6.378599996566773,,5.068946269098381,5.449249823660326,5.956312622947508,-0.3803035545619444,-0.44280480696862745,0.06250125240668303,40.63463793017988,5.1410000085830685,5.872160640678733,4.409839376487404
2021-12-13,4.880000114440918,5.039999961853027,4.610000133514404,4.690000057220459,4.690000057220459,97300,-0.0544354796068478,-0.055973153769045804,0.7058530338822634,4.9300000190734865,6.316599998474121,,5.010646851886393,5.393009100220335,5.906653306644487,-0.3823622483339424,-0.4307162952416904,0.04835404690774803,37.00161897542198,5.066500020027161,5.647164245619379,4.4858357944349425
2021-12-14,4.679999828338623,4.709000110626221,4.354000091552734,4.449999809265137,4.449999809265137,99100,-0.051172760133729955,-0.05252854134233134,0.7061690300837833,4.865000009536743,6.2585999965667725,,4.924393460713892,5.323156560149579,5.849529640080591,-0.398763099435687,-0.4243256560804897,0.025562556644802725,34.08445857596462,5.004000020027161,5.567290396532584,4.440709643521737
2021-12-15,4.389999866485596,4.550000190734863,4.119999885559082,4.460000038146973,4.460000038146973,168800,0.0022472425416770747,0.0022447212687245473,0.6689793915894388,4.820000028610229,6.196799993515015,,4.852948318780521,5.259219040001238,5.795038283142017,-0.40627072122071706,-0.4207146691085352,0.014443947887818165,34.31682674812774,4.949500012397766,5.501749053783776,4.397250971011756
