Date,Open,High,Low,Close,Adj Close,Volume,Simple Return,Log Return,Volatility,SMA_3,SMA_12,SMA_24,EMA_6,EMA_12,MACD,Signal Line,Histogram,RSI,Middle Band,Upper Band,Lower Band
2023-06-01,2.9600000381469727,3.059999942779541,2.140000104904175,2.4100000858306885,2.4100000858306885,815500,-0.19666663805643714,-0.2189855055511531,0.7320450148595263,2.4533333778381348,3.174166679382324,5.870416680971782,2.5826322310210283,3.818590094786899,-39.559119768740715,-56.33853849909326,16.779418730352546,7.917392243030321,4.759500026702881,9.496070404586142,0.022929648819618897
2023-07-01,2.3299999237060547,2.630000114440918,2.069999933242798,2.390000104904175,2.390000104904175,352700,-0.008298746976857507,-0.008333373280578083,0.7297669172144171,2.6000000635782876,2.9483333627382913,5.478333344062169,2.5275944807019273,3.598807019420326,-36.74277619532037,-52.419386038338686,15.67660984301832,7.915753371310188,4.394000041484833,8.653335241189698,0.1346648417799674
2023-08-01,2.380000114440918,3.6500000953674316,2.2100000381469727,3.4000000953674316,3.4000000953674316,1437000,0.4225941197202383,0.35248204983498144,0.7916799628913592,2.733333428700765,2.7400000294049582,5.128333340088527,2.776853227749214,3.568221338796804,-34.03694831154587,-48.74289849298013,14.705950181434261,8.940845468013066,4.209000051021576,8.300229265361004,0.11777083668214683
2023-09-01,3.4000000953674316,4.5,3.049999952316284,3.430000066757202,3.430000066757202,997500,0.008823520749498215,0.008784820969229577,0.7659425218908452,3.073333422342936,2.659166693687439,4.817083358764648,2.963466610322925,3.546956527713788,-31.526719079400337,-45.29966261026418,13.772943530863841,8.973259323582226,4.055500054359436,8.01978303242953,0.09121707628934406
2023-10-01,3.509999990463257,4.650000095367432,2.9200000762939453,3.1500000953674316,3.1500000953674316,608100,-0.08163264313125473,-0.08515779752767318,0.7658205363384682,3.326666752497355,2.671666701634725,4.48166670401891,3.016761891764213,3.48588630735281,-29.223072595187485,-42.084344607248845,12.86127201206136,8.941268307357959,3.783000040054321,7.167080992034773,0.3989190880738689
2023-11-01,3.2100000381469727,5.670000076293945,3.069999933242798,4.480000019073486,4.480000019073486,727300,0.42222218521898713,0.3522205675714521,0.7844052300597638,3.68666672706604,2.7666667103767395,4.264166712760925,3.4348299281382912,3.6388268783867606,-26.979098032785622,-39.0632952923562,12.08419725957058,10.57217383098272,3.5970000505447386,6.337219805797139,0.8567802952923378
2023-12-01,4.75,7.760000228881836,4.199999809265137,7.760000228881836,7.760000228881836,1869900,0.7321429008579983,0.5493593130058405,0.8932746511794201,5.130000114440918,3.2133333881696067,4.291666726271312,4.670592871207875,4.272853547693695,-24.65189175738309,-36.18101458536158,11.52912282797849,14.632908653197887,3.665000057220459,6.728504676142336,0.6014954382985822
2024-01-01,7.429999828338623,12.239999771118164,6.980000019073486,11.350000381469727,11.350000381469727,5928200,0.4626288719974929,0.38023541384686976,0.9146631030764808,7.863333543141683,3.933333416779836,4.493750075499217,6.578995016996975,5.361645368274623,-22.26126697949794,-33.39706506418885,11.135798084690911,18.969853116580737,3.9425000667572023,8.412090250622505,-0.5270901171081004
2024-02-01,11.350000381469727,18.420000076293945,10.789999961853027,17.5,17.5,3856600,0.5418501684432455,0.43298310339238966,0.9560048943900222,12.203333536783854,5.215000092983246,4.864583392937978,9.699282154997839,7.229084542386219,-19.643982446292082,-30.646448540609498,11.002466094317416,25.91364813117491,4.577500057220459,11.992244560951054,-2.8372444465101365
2024-03-01,18.5,23.729999542236328,14.25,19.739999771118164,19.739999771118164,4525000,0.12799998692103798,0.1204461414810426,0.9383756544467319,16.196666717529297,6.713333408037822,5.345416724681854,12.568058616746502,9.153840731421903,-17.1908509078075,-27.9553290140491,10.764478106241597,28.322932499618176,5.309500050544739,15.247347825157537,-4.6283477240680595
2024-04-01,20.8700008392334,30.299999237060547,20.100000381469727,27.729999542236328,27.729999542236328,7667100,0.40476189786022343,0.33986782070928984,0.959606036056781,21.656666437784832,8.86166669925054,6.234166701634725,16.90004173831502,12.011711317701046,-14.435595721751096,-25.2513823555895,10.815786633838403,36.28254214483437,6.401000022888184,20.345940003529012,-7.543939957752645
2024-05-01,27.59000015258789,40.939998626708984,24.690000534057617,35.58000183105469,35.58000183105469,7616200,0.2830869966969096,0.24926889058091928,0.966634478050197,27.68333371480306,11.57666685183843,7.475000103314717,22.237173193383498,15.637602165909298,-11.48620078403192,-22.498346041277987,11.012145257246067,42.981883505727815,7.960000109672547,26.78077201582745,-10.860771796482357
2024-06-01,36.91999816894531,45.900001525878906,23.049999237060547,41.709999084472656,41.709999084472656,10492100,0.1722877160750349,0.15895715255830528,0.9218738445574242,35.006666819254555,14.851666768391928,9.012916723887125,27.800837733694685,19.648740153380583,-8.555521769488891,-19.709781186920168,11.154259417431277,47.61384921659392,9.89550006389618,33.60475945331031,-13.813759325517953
2024-07-01,41.0,46.689998626708984,23.200000762939453,24.969999313354492,24.969999313354492,13443800,-0.4013426070141044,-0.5130658094661626,0.9653570459758115,34.08666674296061,16.73333336909612,9.840833365917206,26.99202675645463,20.467395408761185,-7.4972915059960705,-17.26728325073535,9.76999174473928,38.432082779388956,10.977000033855438,35.355342904858894,-13.401342837148016
2024-08-01,23.989999771118164,24.190000534057617,12.260000228881836,12.890000343322754,12.890000343322754,8165500,-0.483780508699137,-0.6612232332069529,1.1170170736140197,26.523332913716633,17.524166723092396,10.132083376248678,22.962876352702665,19.301642321770657,-7.5464011432507085,-15.323106829238423,7.776705685987714,33.423237700960954,11.501500046253204,35.56853410805699,-12.565534015550577
2024-09-01,12.640000343322754,14.140000343322754,9.670000076293945,10.640000343322754,10.640000343322754,4279100,-0.17455391311649882,-0.19183132740523584,1.09344515826922,16.166666666666668,18.12500007947286,10.392083386580149,19.442054635736977,17.969082017394058,-7.678365660834817,-13.794158595557704,6.1157929347228865,32.57173720629723,11.898000061511993,35.63159695184335,-11.835596828819359
2024-10-01,10.5,21.5,8.970000267028809,18.889999389648438,18.889999389648438,7370513,0.775375825199391,0.5740121330219146,1.1546527015771813,14.140000025431315,19.43666668732961,11.054166694482168,19.284324565425965,18.1107616131255,-7.036134340023342,-12.442553744450832,5.40641940442749,38.73492524664974,12.73650003671646,36.21259523910946,-10.739595165676537
